Year,Title,Character,gender_identity,star,star_gender,oscar_status
1930,Morocco,Mademoiselle Amy Jolly,Queer,Marlene Dietrich,Cisgender Bisexual,Nominated
1940,Rebecca,Mrs. Danvers,Lesbian,Judith Anderson,Cisgender Heterosexual,Nominated
1941,The Maltese Falcon,Kasper 'The Fat Man' Gutman,Queer,Sydney Greenstreet,Cisgender Heterosexual,Nominated
1946,The Razor's Edge,Elliott Templeton,Gay,Clifton Webb,Cisgender Homosexual,Nominated
1950,Caged,Evelyn Harper,Lesbian,Hope Emerson,Cisgender Heterosexual,Nominated
1955,Rebel Without a Cause,John 'Plato' Crawford,Gay,Sal Mineo,Cisgender Bisexual,Nominated
1958,Cat on a Hot Tin Roof,Brick' Pollitt,Bi-curious,Paul Newman,Cisgender Heterosexual,Nominated
1962,Lawrence of Arabia,T. E. Lawrence,Queer,Peter O'Toole,Cisgender Heterosexual,Nominated
1962,Lawrence of Arabia,Sherif Ali bin el Kharish,Gay,Omar Sharif,Cisgender Heterosexual,Nominated
1964,The Night of the Iguana,Judith Fellowes,Lesbian,Grayson Hall,Cisgender Heterosexual,Nominated
1968,"Rachel, Rachel",Calla Mackie,Lesbian,Estelle Parsons,Cisgender Heterosexual,Nominated
1971,Sunday Bloody Sunday,Dr. Daniel Hirsh,Gay,Peter Finch,Cisgender Heterosexual,Nominated
1974,Lenny,Honey Bruce,Bisexual,Valerie Perrine,Cisgender Heterosexual,Nominated
1975,Dog Day Afternoon,Sonny Wortzik,Bisexual,Al Pacino,Cisgender Heterosexual,Nominated
1975,Dog Day Afternoon,Leon Shermer,Transgender woman,Chris Sarandon,Cisgender Heterosexual,Nominated
1977,A Special Day,Gabriele,Gay,Marcello Mastroianni,Cisgender Heterosexual,Nominated
1979,The Rose,"Mary Rose ""The Rose"" Foster",Bisexual,Bette Midler,Cisgender Heterosexual,Nominated
1981,Only When I Laugh,Jimmy Perry,Gay,James Coco,Cisgender Undetermined,Nominated
1982,The World According to Garp,Roberta Muldoon,Transgender woman,John Lithgow,Cisgender Heterosexual,Nominated
1982,Victor/Victoria,Carroll 'Toddy' Todd,Gay,Robert Preston,Cisgender Heterosexual,Nominated
1983,The Dresser,Norman,Gay,Tom Courtenay,Cisgender Heterosexual,Nominated
1983,Silkwood,Dolly Pelliker,Lesbian,Cher,Cisgender Heterosexual,Nominated
1984,The Bostonians,Olive Chancellor,Lesbian,Vanessa Redgrave,Cisgender Heterosexual,Nominated
1985,Kiss of the Spider Woman,Luis Molina,Gay,William Hurt,Cisgender Heterosexual,Won
1985,The Color Purple,Celie Harris-Johnson,Lesbian,Whoopi Goldberg,Cisgender Heterosexual,Nominated
1985,The Color Purple,Shug Avery,Bisexual,Margaret Avery,Cisgender Heterosexual,Nominated
1990,Longtime Companion,David,Gay,Bruce Davison,Cisgender Heterosexual,Nominated
1991,JFK,Clay Shaw,Gay,Tommy Lee Jones,Cisgender Heterosexual,Nominated
1992,The Crying Game,Dil,Transgender woman,Jaye Davidson,Cisgender Homosexual,Nominated
1993,Philadelphia,Andrew 'Andy' Beckett,Gay,Tom Hanks,Cisgender Heterosexual,Won
1997,As Good as It Gets,Simon Bishop,Gay,Greg Kinnear,Cisgender Heterosexual,Nominated
1998,Gods and Monsters,James Whale,Gay,Ian McKellen,Cisgender Homosexual,Nominated
1998,Primary Colors,Libby Holden,Lesbian,Kathy Bates,Cisgender Heterosexual,Nominated
1999,Boys Don't Cry,Brandon Teena,Transgender man,Hilary Swank,Cisgender Heterosexual,Won
1999,Being John Malkovich,Maxine Lund,Bisexual,Catherine Keener,Cisgender Heterosexual,Nominated
1999,"Girl, Interrupted",Lisa Rowe,Bisexual,Angelina Jolie,Cisgender Bisexual,Won
2000,Before Night Falls,Reinaldo Arenas,Gay,Javier Bardem,Cisgender Heterosexual,Nominated
2001,Iris,Iris Murdoch,Bisexual,Judi Dench,Cisgender Heterosexual,Nominated
2001,Iris,Iris Murdoch,Bisexual,Kate Winslet,Cisgender Heterosexual,Nominated
2002,Frida,Frida Kahlo,Bisexual,Salma Hayek,Cisgender Heterosexual,Nominated
2002,The Hours,Virginia Woolf,Lesbian,Nicole Kidman,Cisgender Heterosexual,Won
2002,The Hours,Richard Brown,Gay,Ed Harris,Cisgender Heterosexual,Nominated
2003,Monster,Aileen Wuornos,Lesbian,Charlize Theron,Cisgender Heterosexual,Won
2005,Brokeback Mountain,Ennis Del Mar,Gay or Bisexual,Heath Ledger,Cisgender Heterosexual,Nominated
2005,Capote,Truman Capote,Gay,Philip Seymour Hoffman,Cisgender Heterosexual,Won
2005,Transamerica,"Sabrina ""Bree"" Osbourne",Transgender woman,Felicity Huffman,Cisgender Heterosexual,Nominated
2005,Brokeback Mountain,Jack Twist,Bisexual,Jake Gyllenhaal,Cisgender Heterosexual,Nominated
2006,Notes on a Scandal,Barbara Covett,Lesbian,Judi Dench,Cisgender Heterosexual,Nominated
2008,Milk,Harvey Milk,Gay,Sean Penn,Cisgender Heterosexual,Won
2008,Rachel Getting Married,Kym Buchman,Bisexual,Anne Hathaway,Cisgender Heterosexual,Nominated
2008,Vicky Cristina Barcelona,María Elena,Bisexual,Penélope Cruz,Cisgender Heterosexual,Won
2009,A Single Man,George Falconer,Gay,Colin Firth,Cisgender Heterosexual,Nominated
2010,Black Swan,Nina Sayers,Bisexual,Natalie Portman,Cisgender Heterosexual,Won
2010,The Kids Are All Right,Nicole Allgood,Lesbian,Annette Bening,Cisgender Heterosexual,Nominated
2011,Albert Nobbs,Albert Nobbs,Transgender man,Glenn Close,Cisgender Heterosexual,Nominated
2011,The Girl with the Dragon Tattoo,Lisbeth Salander,Bisexual,Rooney Mara,Cisgender Heterosexual,Nominated
2011,Beginners,Hal Fields,Gay,Christopher Plummer,Cisgender Heterosexual,Won
2011,Albert Nobbs,Hubert Page,Transgender man,Janet McTeer,Cisgender Heterosexual,Nominated
2013,Dallas Buyers Club,Rayon,Transgender woman,Jared Leto,Cisgender Heterosexual,Won
2014,The Imitation Game,Alan Turing,Gay,Benedict Cumberbatch,Cisgender Heterosexual,Nominated
2015,The Danish Girl,Lili Elbe,Transgender woman,Eddie Redmayne,Cisgender Heterosexual,Nominated
2015,Carol,Carol Aird,Lesbian,Cate Blanchett,Cisgender Heterosexual,Nominated
2015,Carol,Therese Belivet,Lesbian,Rooney Mara,Cisgender Heterosexual,Nominated
2017,Call Me by Your Name,Elio Perlman,Bisexual,Timothée Chalamet,Cisgender Heterosexual,Nominated
2017,The Shape of Water,Giles,Gay,Richard Jenkins,Cisgender Heterosexual,Nominated
2018,Bohemian Rhapsody,Freddie Mercury,Bisexual,Rami Malek,Cisgender Heterosexual,Won
2018,Can You Ever Forgive Me?,Lee Israel,Lesbian,Melissa McCarthy,Cisgender Heterosexual,Nominated
2018,The Favourite,Queen Anne of Great Britain,Lesbian,Olivia Colman,Cisgender Heterosexual,Won
2018,Can You Ever Forgive Me?,Jack Hock,Gay,Richard E. Grant,Cisgender Heterosexual,Nominated
2018,Green Book,Don Shirley,Gay,Mahershala Ali,Cisgender Heterosexual,Won
2018,The Favourite,Baroness Abigail Masham,Lesbian or Bisexual,Emma Stone,Cisgender Heterosexual,Nominated
2018,The Favourite,Sarah Churchill,Lesbian or Bisexual,Rachel Weisz,Cisgender Heterosexual,Nominated
2019,Pain and Glory,Salvador Mallo,Gay,Antonio Banderas,Cisgender Heterosexual,Nominated
2019,Bombshell,Kayla Pospisil,Lesbian or Bisexual,Margot Robbie,Cisgender Heterosexual,Nominated
2020,Ma Rainey's Black Bottom,Ma Rainey,Bisexual,Viola Davis,Cisgender Heterosexual,Nominated
2020,The United States vs. Billie Holiday,Billie Holiday,Bisexual,Andra Day,Cisgender Heterosexual,Nominated
2021,The Power of the Dog,Phil Burbank,Queer,Benedict Cumberbatch,Cisgender Heterosexual,Nominated
2021,Parallel Mothers,Janis Martínez Moreno,Bisexual,Penélope Cruz,Cisgender Heterosexual,Nominated
2021,The Power of the Dog,Peter Gordon,Bi-curious,Kodi Smit-McPhee,Cisgender Heterosexual,Nominated
2022,The Whale,Charlie,Gay,Brendan Fraser,Cisgender Heterosexual,Won
2022,Everything Everywhere All at Once,Evelyn Quan Wang,Unclear,Michelle Yeoh,Cisgender Heterosexual,Won
2022,Tár,Lydia Tár,Lesbian,Cate Blanchett,Cisgender Heterosexual,Nominated
2022,Everything Everywhere All at Once,Deirdre Beaubeirdre,Unclear,Jamie Lee Curtis,Cisgender Heterosexual,Won
2022,Everything Everywhere All at Once,Joy Wang / Jobu Tupaki,Lesbian,Stephanie Hsu,Cisgender Queer,Nominated
2023,Maestro,Leonard Bernstein,Bisexual,Bradley Cooper,Cisgender Heterosexual,Nominated
2023,Rustin,Bayard Rustin,Gay,Colman Domingo,Cisgender Homosexual,Nominated
2023,Anatomy of a Fall,Sandra Voyter,Bisexual,Sandra Hüller,Cisgender Heterosexual,Nominated
2023,Nyad,Diana Nyad,Lesbian,Annette Bening,Cisgender Heterosexual,Nominated
2023,Poor Things,Bella Baxter,Bisexual,Emma Stone,Cisgender Heterosexual,Won
2023,American Fiction,"Clifford ""Cliff"" Ellison",Gay,Sterling K. Brown,Cisgender Heterosexual,Nominated
2023,Nyad,Bonnie Stoll,Lesbian,Jodie Foster,Cisgender Unspecified LGBT,Nominated